id,x,y,z,flux,temperature
266,1043.8456,1013.4679,0.0000,156.9875,12777.8
267,997.7669,1035.7227,0.0000,108.6543,16673.8
268,1075.4739,1110.4930,0.0000,118.8402,17874.5
269,983.2833,1144.0681,0.0000,112.8608,14161.3
270,1039.1602,1023.7246,0.0000,1046.9330,25273.5
271,1042.4882,1035.2517,0.0000,124.7691,5799.1
272,1013.0268,1023.0091,0.0000,144.8190,21601.7
273,1020.1734,1025.6065,0.0000,116.0606,7820.4
274,1031.5232,1057.1557,0.0000,119.3042,14746.5
275,1009.3961,1005.8955,0.0000,902.9932,28862.8
276,1052.7763,1046.9040,0.0000,127.3267,19997.5
277,932.2551,1079.3935,0.0000,157.3539,20814.6
278,1022.5119,1024.3197,0.0000,103.7119,16381.2
279,1137.9178,1079.8089,0.0000,121.3770,6726.9
280,1042.0283,939.3509,0.0000,113.7610,29772.4
281,1033.9302,1052.0086,0.0000,110.7872,8459.0
282,1080.6367,1015.1425,0.0000,225.9390,28624.5
283,1027.8314,1011.7571,0.0000,115.8707,14265.0
284,1012.4615,1016.4313,0.0000,225.1595,16578.8
285,1010.6870,1040.7528,0.0000,147.9562,27958.5
286,1052.0379,1013.6705,0.0000,101.1534,17921.8
287,1025.6619,904.2006,0.0000,141.1692,18181.4
288,1022.9442,1025.4173,0.0000,163.6433,12688.5
289,1019.9790,1000.3269,0.0000,135.9904,4485.2
290,1027.1743,1019.7179,0.0000,135.8836,24274.4
291,985.6928,1041.2317,0.0000,318.7614,15231.1
292,1025.0929,1025.3116,0.0000,1941.3488,23820.8
293,1024.5884,1059.6703,0.0000,132.2691,18903.0
294,1002.1565,1117.8723,0.0000,534.5999,28577.9
295,1058.3559,1020.1871,0.0000,115.3941,7836.7
296,992.1078,915.3431,0.0000,111.6451,19468.5
297,985.4653,967.9694,0.0000,418.7284,16242.3
298,1000.1368,1100.1062,0.0000,100.2609,5365.9
299,1026.0963,1025.5402,0.0000,206.7879,6745.6
300,1024.9819,1032.1668,0.0000,252.0334,25937.3
301,1025.2824,1011.3101,0.0000,122.7812,14677.0
302,1038.4320,1020.2201,0.0000,249.2926,3803.1
303,1037.3841,1069.6780,0.0000,115.7142,9156.4
304,1044.2617,1019.6392,0.0000,100.7948,19043.8
305,1045.7877,1028.8591,0.0000,103.7150,6434.7
306,1025.9409,1033.5557,0.0000,627.4796,6491.6
307,795.6062,1187.7486,0.0000,24173.7098,3912.8
308,1029.1141,1019.0546,0.0000,107.9773,14144.3
309,984.9802,1043.4825,0.0000,281.1349,4599.7
310,1056.5083,965.1772,0.0000,100.7787,8584.6
311,1042.2342,1030.3584,0.0000,205.9821,18414.3
312,1019.9872,1030.2348,0.0000,107.5060,28189.0
313,1015.1400,997.6033,0.0000,926.4304,3507.1
314,981.6455,1014.3748,0.0000,153.4098,16633.7
315,1009.3657,1074.6454,0.0000,101.9560,22086.3
316,997.5604,1073.8015,0.0000,103.0715,20375.0
317,975.7411,1047.3011,0.0000,128.3476,13606.7
318,1019.4178,1018.2120,0.0000,186.1732,25271.5
319,995.5505,1092.0111,0.0000,168.9843,24592.3
320,1035.2602,1031.5018,0.0000,196.3861,21592.1
321,1027.8617,1064.1299,0.0000,112.1889,21545.6
322,1026.0292,979.4463,0.0000,104.0117,10948.8
323,1010.4474,981.2679,0.0000,361.7194,10162.1
324,1008.7885,1024.9529,0.0000,342.9342,23362.3
325,1012.7104,998.6788,0.0000,129.6491,11589.2
326,1040.4077,1193.3063,0.0000,196.8718,7785.5
327,1005.5344,1031.6609,0.0000,113.7718,18836.1
328,1050.7427,1138.2175,0.0000,135.6063,24864.3
329,1012.0556,1008.6723,0.0000,189.6549,10354.3
330,970.3121,944.7347,0.0000,107.7783,26255.2
331,989.6077,1049.5984,0.0000,502.8865,6509.2
332,1036.1116,1003.0753,0.0000,466.7438,20416.9
333,1034.0174,1003.1009,0.0000,139.1914,12691.7
334,1039.5374,1060.1850,0.0000,213.2713,25275.2
335,1120.0681,1086.8592,0.0000,388.0966,19817.1
336,1012.4459,975.4458,0.0000,100.5838,18170.9
337,1023.4596,1021.6474,0.0000,400.5713,23976.2
338,999.9587,1215.1553,0.0000,327.4431,14590.9
339,1023.0808,1025.4692,0.0000,104.2947,27514.1
340,1102.2705,993.0749,0.0000,156.4536,26502.6
341,1016.0438,1032.1178,0.0000,102.5508,26892.0
342,1078.4530,1088.8126,0.0000,101.7056,15534.0
343,1017.3011,1070.2149,0.0000,291.5323,29625.8
344,1098.5623,1005.5546,0.0000,104.9449,16547.9
345,940.7331,1035.4271,0.0000,104.7335,18350.8
346,977.1880,970.3519,0.0000,200.3885,26382.6
347,1054.8957,1033.7449,0.0000,698.8381,19006.2
348,1022.5610,1064.5712,0.0000,110.3968,24165.6
349,1125.6736,1125.5540,0.0000,111.5600,21058.4
350,1009.5950,1036.8863,0.0000,828.8318,23963.9
351,908.3382,942.8342,0.0000,148.7588,13197.1
352,1018.3616,976.1168,0.0000,240.3097,28827.4
353,1026.0486,1019.4644,0.0000,104.9949,15457.6
354,1044.1745,1067.4804,0.0000,224.4744,20284.8
355,1043.2204,1064.4947,0.0000,136.3038,15597.9
356,1206.0109,1083.0142,0.0000,215.4048,10964.9
357,1071.7112,1036.8149,0.0000,204.7086,23678.2
358,1055.5773,976.1463,0.0000,116.7759,13291.1
359,1034.6709,1006.7093,0.0000,171.2526,14333.6
360,1030.6557,1017.4982,0.0000,169.6103,14582.5
361,1015.4775,1034.5081,0.0000,154.5141,22382.1
362,952.8049,1008.3086,0.0000,105.6965,29142.0
363,1097.1547,1008.5266,0.0000,101.5324,23551.4
364,996.6338,1090.1378,0.0000,118.2637,8262.2
365,1035.9508,1020.8101,0.0000,104.2586,27566.3
366,1026.1560,1035.1079,0.0000,129.9814,13273.5
367,989.7320,1044.7204,0.0000,197.5366,11558.2
368,972.9446,1033.1948,0.0000,181.9767,23716.5
369,1025.1960,1018.2992,0.0000,614.7311,25053.0
370,978.7559,1038.4694,0.0000,100.7253,6593.9
371,1029.0344,1042.4122,0.0000,102.9961,14920.8
372,922.7541,1101.8306,0.0000,168.7300,3429.0
373,1022.0630,1025.9345,0.0000,103.9549,3420.0
374,1029.9507,1058.7235,0.0000,165.5409,16302.5
375,1020.4743,956.9873,0.0000,240.2496,15330.7
376,1070.5059,1044.2258,0.0000,122.0135,23916.9
377,1023.5115,968.7566,0.0000,157.1578,18732.5
378,1011.5554,955.9342,0.0000,213.7142,27914.7
379,1042.3750,999.4632,0.0000,100.8567,9200.7
380,990.4948,1089.0917,0.0000,152.3595,3438.3
381,1026.0614,1052.6380,0.0000,653.5350,13206.1
382,1021.9126,977.6708,0.0000,211.8040,19264.3
383,981.2036,995.5190,0.0000,145.3180,21984.4
384,1013.6555,1024.2625,0.0000,139.7660,5712.4
385,975.2164,960.9070,0.0000,275.0064,9034.7
386,914.6784,983.9846,0.0000,129.8586,25170.1
387,1068.0961,1033.5363,0.0000,104.2339,8619.9
388,1003.7333,1006.6582,0.0000,128.2822,12526.1
389,1021.8780,1017.8940,0.0000,224.7440,28290.6
390,1124.5527,1029.3112,0.0000,126.7357,13871.7
391,1039.0415,1013.7915,0.0000,304.9989,5523.2
392,1029.0629,1020.5861,0.0000,146.9239,29782.9
393,943.3670,1004.1103,0.0000,202.4057,4829.8
394,1079.5779,1009.4642,0.0000,125.1139,20368.7
395,1022.5375,1023.6461,0.0000,115.8886,28347.0
396,1018.4689,985.8389,0.0000,1044.8729,6361.6
397,1007.3103,1036.1696,0.0000,112.6678,21461.5
398,1012.9694,1031.5367,0.0000,245.0504,29625.0
399,1007.8692,1003.5795,0.0000,491.6456,18606.8
400,895.4010,1022.3473,0.0000,103.3094,4860.5
401,1026.0504,963.3021,0.0000,124.1363,20822.1
402,1020.7471,1025.0692,0.0000,258.1081,9777.3
403,1025.6570,1026.0281,0.0000,153.1492,23989.7
404,1050.6208,1005.8901,0.0000,116.5285,22642.3
405,1015.6333,1017.0223,0.0000,933.3230,19847.4
406,1022.2235,1058.4587,0.0000,136.3752,16259.8
407,1013.2775,1034.5401,0.0000,267.3400,23903.8
408,1022.1941,1005.5117,0.0000,102.2381,25313.0
409,1037.0559,929.6726,0.0000,138.9802,9394.9
410,1064.3519,1008.8278,0.0000,434.4775,25444.6
411,933.3574,1070.7412,0.0000,339.1568,4317.0
412,998.1497,1011.3114,0.0000,671.7078,8819.7
413,1016.4239,1006.4896,0.0000,181.8307,18729.7
414,1053.2976,1052.4938,0.0000,112.7246,28089.1
415,959.6567,1075.3571,0.0000,319.2194,27963.9
416,1041.9140,933.0723,0.0000,153.6017,13683.4
417,991.1294,1047.0497,0.0000,326.6619,25157.4
418,988.4843,1008.3896,0.0000,198.4290,9485.0
419,1171.7410,954.4088,0.0000,680.7991,10145.8
420,1082.7101,1045.3869,0.0000,319.4631,29743.0
421,1006.2899,994.7522,0.0000,114.4968,4646.9
422,1026.1904,1057.3019,0.0000,139.2143,3882.9
423,987.5569,998.7476,0.0000,244.7457,19058.4
424,1023.7707,1023.8954,0.0000,108.5363,6353.0
425,985.9369,962.3163,0.0000,117.5144,14409.8
426,1015.6979,1079.8222,0.0000,239.8740,13947.9
427,996.6597,1058.3852,0.0000,123.3992,25256.2
428,960.1795,1045.0164,0.0000,151.8485,14503.6
429,1011.2136,971.1190,0.0000,439.9502,4833.9
430,1078.6775,999.9414,0.0000,189.4142,10511.6
431,981.2754,1012.1235,0.0000,122.4277,13297.1
432,1056.8446,1049.5263,0.0000,117.4655,9027.1
433,1024.0715,1030.1858,0.0000,120.3913,11338.6
434,1016.3842,1058.3532,0.0000,585.7053,21203.2
435,929.4227,1011.7370,0.0000,108.6326,10781.8
436,864.8909,913.5029,0.0000,909.4461,14719.9
437,1028.7924,953.1236,0.0000,173.8536,27525.6
438,1016.0296,1023.3732,0.0000,133.1332,27932.5
439,1030.1493,1019.3208,0.0000,269.6753,6645.7
440,876.4834,1166.7782,0.0000,452.4817,12307.7
441,1027.5469,1021.6107,0.0000,105.7142,29581.7
442,1017.8290,1008.7289,0.0000,584.8022,13587.7
443,993.6661,1028.9070,0.0000,145.8363,8317.4
444,1003.0963,1009.4662,0.0000,150.7823,12566.8
445,1076.3991,1029.1016,0.0000,903.7721,4639.5
446,1007.2690,1038.5830,0.0000,102.2665,20121.8
447,1078.5107,1133.2744,0.0000,186.5567,6603.6
448,967.4433,968.5132,0.0000,261.1557,8818.0
449,1033.8073,995.9347,0.0000,128.4578,6251.9
450,1057.3385,1046.1333,0.0000,345.0403,22194.0
451,1053.1103,995.6208,0.0000,195.8134,19584.7
452,1025.4118,978.9210,0.0000,177.4091,3844.5
453,1031.5602,1034.6189,0.0000,112.8839,25463.0
454,1014.1979,1045.6007,0.0000,105.2371,4881.6
455,1107.9410,1070.8730,0.0000,114.3700,7026.4
456,1020.7895,1027.1821,0.0000,107.6258,16584.2
457,1043.5662,989.7267,0.0000,138.0890,28537.9
458,1026.8130,1021.6093,0.0000,170.2804,28707.5
459,1000.0751,1022.1399,0.0000,138.8928,14256.9
460,1055.8364,934.8919,0.0000,119.0610,8774.4
461,1119.0508,933.1099,0.0000,147.6190,11583.1
462,938.9240,1054.8943,0.0000,140.9389,21883.9
463,976.8881,1002.1768,0.0000,113.0923,27675.0
464,971.3064,1074.2781,0.0000,101.5849,11645.7
465,1113.1123,1003.6684,0.0000,133.1174,28287.5
466,1019.9154,1018.8796,0.0000,126.7865,16381.9
467,1055.8414,945.2942,0.0000,128.2342,4758.3
468,1003.0825,1096.0978,0.0000,109.0097,4541.4
469,914.9963,1008.4389,0.0000,106.7932,4418.5
470,877.3737,1034.7933,0.0000,187.9629,14221.7
471,1024.2991,1023.1129,0.0000,318.7431,10488.0
472,1079.0430,1013.8371,0.0000,252.6849,14517.4
473,1129.0981,1188.9040,0.0000,159.8617,8420.9
474,1027.4025,1029.4609,0.0000,201.0277,24301.8
475,1030.9427,975.8542,0.0000,106.7957,7913.7
476,888.1292,966.6409,0.0000,103.5480,25010.3
477,1007.3211,958.7282,0.0000,100.5436,28203.0
478,910.3250,915.3977,0.0000,105.6781,10145.5
479,976.4324,1033.1317,0.0000,157.7254,29639.6
480,1022.6798,1062.5619,0.0000,131.2949,6334.6
481,1001.5854,1025.5964,0.0000,217.7597,12532.6
482,1016.5872,998.3107,0.0000,186.8084,27611.8
483,1065.2208,1029.1336,0.0000,223.9608,5658.5
484,1035.0751,1007.2345,0.0000,117.2736,9001.5
485,1031.1569,1018.3712,0.0000,263.7306,18358.3
486,1044.9352,918.3781,0.0000,125.5770,8153.3
487,1000.1206,967.1766,0.0000,101.5536,21681.5
